id,category,theory,dimension,question,reverse
1,BigFive,Openness,探索性,新しい表現やアイデアに強く興味を持つ,0
2,BigFive,Openness,探索性,普段と違うやり方を試したくなる,0
3,BigFive,Openness,探索性,抽象的な概念を考えるのが好き,0
4,BigFive,Openness,探索性,芸術や美的なものに強く惹かれる,0
5,BigFive,Openness,探索性,現実的で実用的なことの方が重要だと感じる,1
6,BigFive,Conscientiousness,継続性,計画を立てて行動することが多い,0
7,BigFive,Conscientiousness,継続性,締切を守ることを重視している,0
8,BigFive,Conscientiousness,継続性,コツコツ継続するのが得意,0
9,BigFive,Conscientiousness,継続性,気分で行動を変えることが多い,1
10,BigFive,Conscientiousness,継続性,やるべきことを先延ばしにしない,0
11,BigFive,Extraversion,関係性,人と話すことでエネルギーが高まる,0
12,BigFive,Extraversion,関係性,自分の考えを積極的に表現する,0
13,BigFive,Extraversion,関係性,グループ活動が好き,0
14,BigFive,Extraversion,関係性,一人でいる方が落ち着く,1
15,BigFive,Extraversion,関係性,人前で話すことに抵抗が少ない,0
16,BigFive,Agreeableness,協調性,他人の気持ちをよく考える,0
17,BigFive,Agreeableness,協調性,対立を避ける傾向がある,0
18,BigFive,Agreeableness,協調性,人をサポートするのが好き,0
19,BigFive,Agreeableness,協調性,必要なら強く主張する,1
20,BigFive,Agreeableness,協調性,周囲と調和することを大切にする,0
21,BigFive,Neuroticism,感情安定性,不安を感じやすい,1
22,BigFive,Neuroticism,感情安定性,小さなことでも気にしやすい,1
23,BigFive,Neuroticism,感情安定性,感情の波が大きいと感じる,1
24,BigFive,Neuroticism,感情安定性,ストレスに強い方だ,0
25,BigFive,Neuroticism,感情安定性,気分に影響されやすい,1
26,SDT,Autonomy,内発動機,自分の意思で選択していると感じる,0
27,SDT,Autonomy,内発動機,やらされていると感じることが多い,1
28,SDT,Autonomy,内発動機,自分なりのやり方を大切にしている,0
29,SDT,Autonomy,内発動機,周囲の期待に従うことが多い,1
30,SDT,Autonomy,内発動機,自分で決めたことに納得感がある,0
31,SDT,Competence,有能感,自分は成長していると感じる,0
32,SDT,Competence,有能感,できることが増えている実感がある,0
33,SDT,Competence,有能感,課題に対して自信を持てる,0
34,SDT,Competence,有能感,失敗すると自分の能力に疑問を感じる,1
35,SDT,Competence,有能感,努力すれば上達できると感じている,0
36,SDT,Relatedness,関係性,周囲とのつながりを感じている,0
37,SDT,Relatedness,関係性,他人と協力するのが楽しい,0
38,SDT,Relatedness,関係性,自分の存在が認められていると感じる,0
39,SDT,Relatedness,関係性,孤立していると感じることがある,1
40,SDT,Relatedness,関係性,誰かと共有することで満足感が高まる,0
41,Kolb,Experience,実行力,まずやってみてから考える,0
42,Kolb,Experience,実行力,試行錯誤することに抵抗がない,0
43,Kolb,Reflection,内省,行動のあとに振り返る習慣がある,0
44,Kolb,Reflection,内省,自分の行動を客観的に見ることがある,0
45,Kolb,Abstract,抽象化,経験からルールや法則を見つけようとする,0
46,Kolb,Abstract,抽象化,理論的に整理するのが好き,0
47,Kolb,Experiment,改善力,改善点を次の行動にすぐ活かす,0
48,Kolb,Experiment,改善力,新しいやり方を試すのが好き,0
49,Kolb,Balance,固定化,一度やったことをそのまま繰り返すことが多い,1
50,Kolb,Balance,学習適応,学びを次に活かすことを意識している,0
